mol_id,ligand_a,ligand_b
SOYNOM,CC(C)(C)c1cc2[n+]3c(n1)-c1ccc(F)cc1[Ir]3n1nc(C(F)(F)F)cc1-2,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(C)(C)C)cc2c31
YUYZUP,CCCCN1C=CN2[C]1=[IrH]1=[C]3N(CCCC)C=CN3c3cccc2c31,c1cc[n+]2c(c1)-c1cccc[n+]1[IrH]2
CUYRAS,COc1cc2[n+]3c(c1)-n1c4c(OC)cccc4c4cc(OC)cc(c41)[Ir]3n1nc(C(F)(F)F)cc1-2,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31
UVEFEI,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,FC(F)(F)c1cc2n(n1)[Ir]1n3nc(C(F)(F)F)cc3-c3cccc-2[n+]31
YUZBEC,CCCCN1[C]2=[Ir]3=[C]4N(CCCC)c5ccccc5N4c4cccc(c43)N2c2ccccc21,c1cc2ccc3ccc[n+]4c3c2[n+](c1)[Ir]4
IJUKEG,CC(C)(C)c1cc2[n+]3c(c1)C1(C)c4ccccc4-c4cccc(c41)[Ir]3n1nc(C(F)(F)F)cc1-2,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(F)(F)F)cc2c31
UYOKUR,CN1[C]2=[Ir]3=[C]4N(C)c5ccccc5N4c4cc(C(C)(C)C)cc(c43)N2c2ccccc21,Fc1ccc2c(c1)[Ir]1n3nc(C(F)(F)F)cc3-c3cccc([n+]31)O2
ELOYIP,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,FC(F)(F)c1cc2n(n1)[Ir]1c3ccc4ccccc4c3-c3cccc-2[n+]31
ATONEF,,
UVEFAE,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,Fc1cc(F)c2c(c1)[Ir]1c3cc(F)cc(F)c3-c3cccc-2[n+]31
LOKKII,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31,c1ccc2c(c1)-c1cccc3[n+]1[Ir]2n1ccnc1-3
ELOZEM,FC(F)(F)c1ccc(-c2cccc3[n+]2[Ir]n2nc(C(F)(F)F)cc2-3)cc1,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(F)(F)F)cc2c31
YUZBAY,CCCCN1[C]2=[Ir]3=[C]4N(CCCC)c5ccccc5N4c4cccc(c43)N2c2ccccc21,c1cc[n+]2c(c1)-c1cccc[n+]1[Ir]2
OXAKOQ,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,c1ccc2c3c(sc2c1)-c1sc2ccccc2[n+]1[Ir]3
UVEFIM,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31,Fc1cc(F)c2c(c1)[Ir]1n3nc(C(F)(F)F)cc3-c3cccc-2[n+]31
ELOZAI,FC(F)(F)c1ccc2c(c1)[Ir]1n3nc(C(F)(F)F)cc3-c3cccc-2[n+]31,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(F)(F)F)cc2c31
NENBIV,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,Cc1cc2c(cc1C)N1[C](=[Ir]2)N(Cc2ccccc2)c2cccnc21
ATONAB,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,FC(F)(F)c1ccc2c(c1)Oc1cccc3[n+]1[Ir]2c1ccc(C(F)(F)F)cc1O3
QAYNOX,CC(C)N1[C]2=[Ir]3=[C]4N(c5cc(C(C)(C)C)cc(c53)N2c2nc(C(F)(F)F)ccc21)c1nc(C(F)(F)F)ccc1N4C(C)C,CN(C)c1cc2[n+]3c(c1)-n1c4ccc(C(F)(F)F)cc4c4cc(C(F)(F)F)cc(c41)[Ir]3n1nc(C(F)(F)F)cc1-2
SOYNIG,CC(C)(C)c1cc2[n+]3c(n1)-c1cc(C(F)(F)F)nn1[Ir]3c1cc(F)ccc1-2,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(C)(C)C)cc2c31
BIPLET,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3c(C)cc(C)c2c31,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3c(C)cc(C)c2c31
LOKKOO,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31,CC#[N+][Ir]
OXAKUW,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,c1cc[n+]2c(c1)-c1sccc1[Ir]2
OXALAD,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,Fc1cc(F)c2c(c1)[Ir][n+]1ccccc1-2
SOYNOM,CC(C)(C)c1cc2n3->[Ir](c4cc(F)ccc4-c3n1)n1nc(C(F)(F)F)cc1-2,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(C)(C)C)cc2c31
YUYZUP,CCCCN1C=CN2[C]1=[IrH]1=[C]3N(CCCC)C=CN3c3cccc2c31,c1ccn2->[IrH]<-n3ccccc3-c2c1
CUYRAS,COc1cc2n3->[Ir](c4cc(OC)cc5c6cccc(OC)c6n(c45)-c3c1)n1nc(C(F)(F)F)cc1-2,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31
UVEFEI,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,FC(F)(F)c1cc2n(n1)[Ir]1<-n3c-2cccc3-c2cc(C(F)(F)F)nn21
YUZBEC,CCCCN1[C]2=[Ir]3=[C]4N(CCCC)c5ccccc5N4c4cccc(c43)N2c2ccccc21,c1cc2ccc3cccn4->[Ir]<-n(c1)c2c34
IJUKEG,CC(C)(C)c1cc2n3->[Ir](c4cccc5c4C(C)(c4ccccc4-5)c3c1)n1nc(C(F)(F)F)cc1-2,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(F)(F)F)cc2c31
UYOKUR,CN1[C]2=[Ir]3=[C]4N(C)c5ccccc5N4c4cc(C(C)(C)C)cc(c43)N2c2ccccc21,Fc1ccc2c(c1)[Ir]1<-n3c(cccc3-c3cc(C(F)(F)F)nn31)O2
ELOYIP,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,FC(F)(F)c1cc2n(n1)[Ir]1<-n3c(cccc3-2)-c2c1ccc1ccccc21
ATONEF,,
UVEFAE,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,Fc1cc(F)c2c(c1)[Ir]1<-n3c-2cccc3-c2c(F)cc(F)cc21
LOKKII,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31,c1ccc2c(c1)-c1cccc3n1->[Ir]2n1ccnc1-3
ELOZEM,FC(F)(F)c1ccc(-c2cccc3-c4cc(C(F)(F)F)nn4[Ir]<-n23)cc1,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(F)(F)F)cc2c31
YUZBAY,CCCCN1[C]2=[Ir]3=[C]4N(CCCC)c5ccccc5N4c4cccc(c43)N2c2ccccc21,c1ccn2->[Ir]<-n3ccccc3-c2c1
OXAKOQ,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,c1ccc2c3[Ir]<-n4c(-c3sc2c1)sc1ccccc14
UVEFIM,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31,Fc1cc(F)c2c(c1)[Ir]1<-n3c-2cccc3-c2cc(C(F)(F)F)nn21
ELOZAI,FC(F)(F)c1ccc2c(c1)[Ir]1<-n3c-2cccc3-c2cc(C(F)(F)F)nn21,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(F)(F)F)cc2c31
NENBIV,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,Cc1cc2c(cc1C)N1[C](=[Ir]2)N(Cc2ccccc2)c2cccnc21
ATONAB,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc2c31,FC(F)(F)c1ccc2c(c1)Oc1cccc3n1->[Ir]2c1ccc(C(F)(F)F)cc1O3
QAYNOX,CC(C)N1[C]2=[Ir]3=[C]4N(c5cc(C(C)(C)C)cc(c53)N2c2nc(C(F)(F)F)ccc21)c1nc(C(F)(F)F)ccc1N4C(C)C,CN(C)c1cc2n3->[Ir](c4cc(C(F)(F)F)cc5c6cc(C(F)(F)F)ccc6n(c45)-c3c1)n1nc(C(F)(F)F)cc1-2
SOYNIG,CC(C)(C)c1cc2n3->[Ir](c4cc(F)ccc4-2)n2nc(C(F)(F)F)cc2-c3n1,CN1C=CN2[C]1=[Ir]1=[C]3N(C)C=CN3c3cc(C(C)(C)C)cc2c31
BIPLET,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3c(C)cc(C)c2c31,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3c(C)cc(C)c2c31
LOKKOO,CC(C)N1C=CN2[C]1=[Ir]1=[C]3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc2c31,CC#N->[Ir]
OXAKUW,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,c1ccn2->[Ir]c3ccsc3-c2c1
OXALAD,CCCCN1C=CN2[C]1=[Ir]1=[C]3N(CCCC)C=CN3c3cccc2c31,Fc1cc(F)c2-c3ccccn3->[Ir]c2c1
